CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
ANL~~ANDULO, ANGOLA~NO STA DATA~~~~~
ANM~~ANTALAHA, MADAGASCAR~NO STA DATA~~~~~
ANN~~ANNETTE ISLAND, AK~NO STA DATA~~~~~
ANO~~ANTONIO ENES, MOZAMBIQUE~NO STA DATA~~~~~
ANP~~ANNAPOLIS, MD~NO STA DATA~~~~~
ANR~EBAW~ANTWERP, BELGIUM~ANTWERP BELGIUM~DEURNE~51.11.4N~004.27.7E~39~P01.0
ANS~~ANDAHUAYLAS, PERU~NO STA DATA~~~~~
ANU~TAPA~ANTIGUA, ANTIGUA~ANTIGUA, ST JOHNS~V.C.BIRD INTL~17.08.4N~061.47.1W~62~M04.0
ANV~~ANVIK, AK~NO STA DATA~~~~~
ANW~~AINSWORTH, NE~NO STA DATA~~~~~
ANX~~ANDENES, NORWAY~NO STA DATA~~~~~
ANZ~~ANGUS DOWNS, AUSTRALIA~NO STA DATA~~~~~
AOA~~AROA, PAPUA NEW GUINE~NO STA DATA~~~~~
AOB~~ANNANBERG, PAPUA NEW GUINE~NO STA DATA~~~~~
AOC~~ALTENBURG, GERMANY~NO STA DATA~~~~~
AOD~~ABOU DEIA, CHAD~NO STA DATA~~~~~
AOG~~ANSHAN, CHINA~NO STA DATA~~~~~
AOH~KAOH~LIMA OH, OH~LIMA OH~LIMA ALLEN CO~40.42.5N~084.01.5W~975~M05.0
AOI~LIPY~ANCONA, ITALY~FALCONARA ITALY~FALCONARA MIL~43.36.9N~013.21.7E~50~P01.0
AOJ~RJSA~AOMORI, JAPAN~AOMORI,JAPAN~AOMORI~40.43.9N~140.41.6E~652~P09.0
AOK~LGKP~KARPATHOS, GREECE~KARPATHOS GREECE~KARPATHOS~35.25.0N~027.09.0E~66~P02.0
AOL~SARL~PASO LIBRES, ARGENTINA~PASO DE LOS LIBRES ARGEN~PASO DE LOS LIBRES~29.41.3S~057.09.1W~230~M03.0
AON~~ARONA, PAPUA NEW GUINE~NO STA DATA~~~~~
AOO~KAOO~ALTOONA, PA~ALTOONA PA~ALTOONA-BLAIR CO~40.17.7N~078.19.2W~1504~M05.0
AOR~WMKA~ALOR SETAR, MALAYSIA~ALOR SETAR, MALAYSIA~SULTAN ABDUL HALIM~06.11.6N~100.24.2E~15~P08.0
AOS~~AMOOK, AK~NO STA DATA~~~~~
AOT~~AUTOMATED TVL SYS, NY~NO STA DATA~~~~~
AOU~~ATTOPEU, LAO PEOPLES DEM~NO STA DATA~~~~~
AOW~~HANALEI, HI~NO STA DATA~~~~~
AOX~~A1 CAR RENTAL, CA~NO STA DATA~~~~~
AOZ~~ARCOTEL HOTELS, AZ~KZYL-ORDA FIR~~~~1~P00.0
APA~KAPA~ARAPAHOE, CO~DENVER CO~CENTENNIAL~39.34.2N~104.50.9W~5882~M07.0
APB~~APOLO, BOLIVIA~NO STA DATA~~~~~
APC~KAPC~NAPA, CA~NAPA VALLEY CA~NAPA COUNTY~38.12.7N~122.16.8W~33~M08.0
APD~~ASIA PACIFIC DIST, AUSTRALIA~NO STA DATA~~~~~
APF~KAPF~NAPLES FL, FL~NAPLES FL~NAPLES MUN~26.09.1N~081.46.5W~9~M05.0
APG~KAPG~ABERDEEN MD, MD~PHILLIPS AAF/ABERDEEN MD~PHILLIPS AAF~39.27.9N~076.10.1W~59~M05.0
API~~APIAY, COLOMBIA~NO STA DATA~~~~~
APJ~~APPIAN LINE, ITALY~NO STA DATA~~~~~
APK~~APATAKI, FRENCH POLYNESI~NO STA DATA~~~~~
APL~FQNP~NAMPULA, MOZAMBIQUE~NAMPULA MOZAMBIQUE~NAMPULA~15.06.0S~039.17.0E~1444~P02.0
APM~~ARIPUANA, BRAZIL~NO STA DATA~~~~~
APN~KAPN~ALPENA, MI~ALPENA , MICHIGAN~ALPENA CO REGL~45.04.6N~083.33.6W~689~M05.0
APO~~APARTADO, COLOMBIA~NO STA DATA~~~~~
APP~~ASAPA, PAPUA NEW GUINE~NO STA DATA~~~~~
APQ~~MKTNG AUTMN AUX P, TX~NO STA DATA~~~~~
APR~~APRIL RIVER, PAPUA NEW GUINE~NO STA DATA~~~~~
APS~~ANAPOLIS BR, BRAZIL~NO STA DATA~~~~~
APT~KAPT~NOT IN TBL~TAMPA~MARION CO-BROWN~35.03.6N~085.35.1W~1~M05.0
APU~~APUCARNA, BRAZIL~TULE.....APU SHOP SUPPLY~~~~1~M06.0
APV~~APPLE VALLEY, CA~NO STA DATA~~~~~
APW~NSFA~APIA FALEOLO, WESTERN SAMOA~APIA UPOLU WESTERN SAMOA~FALEOLO INTL~13.48.9S~171.59.9W~58~M11.0
APX~~ARAPONGAS, BRAZIL~NO STA DATA~~~~~
APY~~ALTO PARNAIBA, BRAZIL~NO STA DATA~~~~~
APZ~~ZAPALA, ARGENTINA~NO STA DATA~~~~~
AQA~~ARARAQUARA, BRAZIL~NO STA DATA~~~~~
AQF~~QF AGENCY SUPPORT, AUSTRALIA~NO STA DATA~~~~~
AQI~OEPA~QAISUMAH, SAUDI ARABIA~QAISUMAH SAUDI ARABIA~HAFR AL-BATIN~28.20.0N~046.07.4E~1175~P03.0
AQJ~OJAQ~AQABA, JORDAN~AQABA,JORDAN~AQABA INTL~29.36.7N~035.01.0E~175~P02.0
AQM~~ARIQUMES, BRAZIL~NO STA DATA~~~~~
AQP~SPQU~AREQUIPA, PERU~AREQUIPA PERU~RODRIGUEZ BALLON~16.20.2S~071.34.1W~8404~M05.0
AQR~~ARAMIS WORLDWIDE, CANADA~NO STA DATA~~~~~
AQS~~SAQANI, FIJI~NO STA DATA~~~~~
AQT~~RESERVED 54, AUSTRALIA~NO STA DATA~~~~~
AQU~~SPCL PROJ MGT, TX~NO STA DATA~~~~~
AQX~~AQUA SFTWR PRODS, CA~NO STA DATA~~~~~
ARA~KARA~NEW IBERIA, LA~NEW IBERIA LA~ACADIANA REGL~30.02.2N~091.53.0W~24~M06.0
ARB~~ANN ARBOR, MI~NO STA DATA~~~~~
ARC~~ARCTIC VILLAGE, AK~NO STA DATA~~~~~
ARD~~ALOR, INDONESIA~NO STA DATA~~~~~
ARE~~ARECIBO, PUERTO RICO~ARECBO~~~~1~M04.0
ARF~~ACARICURA, COLOMBIA~NO STA DATA~~~~~
ARG~KARG~WALNUT RIDGE, AR~WALNUT RIDGE ARKANSAS~WALNUT RIDGE REGL~36.07.5N~090.55.4W~273~M06.0
ARH~ULAA~ARKHANGELSK, RUSSIA~ARKHANGELSK RUSSIA~TALAGI~64.36.0N~040.43.1E~62~P03.0
ARI~SCAR~ARICA, CHILE~ARICA CHILE~CHACALLUTA INTL~18.20.7S~070.20.1W~180~M04.0
ARJ~~ARSO, INDONESIA~NO STA DATA~~~~~
ARK~~ARUSHA, TANZANIA~NO STA DATA~~~~~
ARL~~ARLY, BURKINA FASO~NO STA DATA~~~~~
ARM~~ARMIDALE, AUSTRALIA~NO STA DATA~~~~~
ARN~ESSA~STOCKHOLM ARLANDA, SWEDEN~STOCKHOLM SWEDEN~ARLANDA~59.39.1N~017.55.1E~123~P01.0
ARO~~ARBOLETAS, COLOMBIA~NO STA DATA~~~~~
ARP~~ARAGIP, PAPUA NEW GUINE~NO STA DATA~~~~~
ARQ~~ARAUQUITA, COLOMBIA~NO STA DATA~~~~~
ARR~~ALTO RIO SENGUERR, ARGENTINA~NO STA DATA~~~~~
ARS~~ARAGARCAS, BRAZIL~NO STA DATA~~~~~
ART~KART~WATERTOWN NY, NY~WATERTOWN NEW YORK~WATERTOWN INTL~43.59.5N~076.01.3W~325~M05.0
ARU~~ARACATUBA, BRAZIL~ARACATUBA BRAZIL~~~~1361~M03.0
ARV~KARV~MINOCQUA, WI~MINOCQUA WI~LAKELAND/LEE MEML~45.55.6N~089.43.8W~1628~M06.0
ARW~LRAR~ARAD, ROMANIA~ARAD ROMANIA~ARAD~46.10.6N~021.15.8E~351~P02.0
ARX~~ASBURY PK MONMUTH, NJ~NO STA DATA~~~~~
ARY~~ARARAT, AUSTRALIA~NO STA DATA~~~~~
ARZ~~NZETO, ANGOLA~NO STA DATA~~~~~
ASA~~ASSAB, ERITREA~NO STA DATA~~~~~
ASB~UTAA~ASHKHABAD, TURKMENISTAN~ASHKHABAD, TURKMENISTAN~ASHKHABAD~37.58.9N~058.21.6E~689~P05.0
ASC~SLAC~ASCENSION, BOLIVIA~ASCENSION BOLIVIA~ASCENSION DE GUARAYOS~15.43.2S~063.05.6W~809~M04.0
ASD~~ANDROS TOWN, BAHAMAS~NO STA DATA~~~~~
ASE~KASE~ASPEN, CO~ASPEN CO~ASPEN-PITKIN CO/SARDY~39.13.3N~106.52.1W~7815~M07.0
ASF~~ASTRAKHAN, RUSSIA~NO STA DATA~~~~~
ASG~~ARLN SVCS GRP HDQ, TX~NO STA DATA~~~~~
ASH~KASH~NASHUA, NH~NASHUA NEW HAMPSHI~BOIRE~42.46.9N~071.30.8W~200~M05.0
ASI~FHAW~GEORGETOWN, ST HELENA~ASCENCION ISLAND~ASCENSION AUX AB~07.58.2S~014.23.6W~273~P00.0
ASJ~RJKA~AMANI O SHIMA, JAPAN~AMAMI OSHIMA,JAPAN~AMAMI~28.25.6N~129.42.8E~14~P09.0
ASK~DIYO~YAMOUSSOURRO, IVORY COAST~YAMOUSSOUKRO IVORY COAST~YAMOUSSOUKRO~06.54.4N~005.21.8W~696~P00.0
ASL~KASL~MARSHALL TX, TX~MARSHALL TX~HARRISON CO~32.31.3N~094.18.4W~1~M06.0
ASM~HHAS~ASMARA, ERITREA~ASMARA ETHIOPIA~ASMARA INTL~15.17.1N~038.54.1E~7617~P03.0
ASN~KASN~NOT IN TBL~TALLADEGA AL~TALLADEGA MUN~33.34.1N~086.03.0W~528~M06.0
ASO~~ASOSA, ETHIOPIA~NO STA DATA~~~~~
ASP~YBAS~ALICE SPRINGS, AUSTRALIA~ALICE SPRINGS~ALICE SPRINGS~23.48.4S~133.54.1E~1789~P09.5
ASQ~~AUSTIN NV, NV~NO STA DATA~~~~~
ASR~LTAU~KAYSERI, TURKEY~KAYSERI TURKEY~ERKILET AB~38.46.3N~035.29.6E~3506~P02.0
AST~KAST~ASTORIA, OR~ASTORIA, OREGON~ASTORIA REGL~46.09.4N~123.52.7W~11~M08.0
ASU~SGAS~ASUNCION, PARAGUAY~ASUNCION PARAGUAY~SILVIO PETTIROSSI INT~25.14.3S~057.31.1W~292~M04.0
ASV~~AMBOSELL, KENYA~NO STA DATA~~~~~
ASW~HESN~ASWAN, EGYPT~ASWAN EGYPT~ASWAN~23.57.8N~032.49.2E~656~P02.0
ASX~KASX~ASHLAND WI, WI~ASHLAND WI~KENNEDY MEML~46.32.9N~090.55.1W~826~M06.0
ASZ~~ASIRIM, PAPUA NEW GUINE~NO STA DATA~~~~~
ATA~~ANTA, PERU~NO STA DATA~~~~~
ATB~~ATBARA, SUDAN~NO STA DATA~~~~~
ATC~~ARTHURS TOWN, BAHAMAS~NO STA DATA~~~~~
ATD~~ATOIFI, SOLOMON ISLANDS~NO STA DATA~~~~~
ATE~~ANTLERS, OK~NO STA DATA~~~~~
ATF~~AMBATO, ECUADOR~NO STA DATA~~~~~
ATG~~ATTOCK, PAKISTAN~NO STA DATA~~~~~
ATH~LGAT~ATHENS, GREECE~ATHENS GREECE~ATHENS~37.53.7N~023.43.6E~68~P02.0
ATI~~ARTIGAS, URUGUAY~NO STA DATA~~~~~
ATJ~~ANTSIRABE, MADAGASCAR~NO STA DATA~~~~~
ATK~~ATQASUK, AK~NO STA DATA~~~~~
ATL~KATL~ATLANTA, GA~ATLANTA GA~HARTSFIELD ATLANTA INTL~33.38.4N~084.25.6W~1026~M05.0
ATM~SBHT~ALTIMIRA, BRAZIL~ALTAMIRA,BRAZIL~ALTAMIRA~03.15.0S~052.15.1W~367~M03.0
ATN~~NAMATANAI, PAPUA NEW GUINE~NO STA DATA~~~~~
ATO~~ATHENS OH, OH~NO STA DATA~~~~~
ATP~~AITAPE, PAPUA NEW GUINE~NO STA DATA~~~~~
ATQ~VIAR~AMRITSAR, INDIA~AMRITSAR INDIA~AMRITSAR~31.42.2N~074.48.1E~752~P05.5
ATR~~ATAR, MAURITANIA~NO STA DATA~~~~~
ATS~KATS~ARTESIA, NM~ARTESIA MUN~ARTESIA MUN~32.51.1N~104.28.0W~3548~P00.0
ATT~~ATMAUTLUAK, AK~NO STA DATA~~~~~
ATU~~ATTU ISLAND, AK~NO STA DATA~~~~~
ATV~~ATI, CHAD~NO STA DATA~~~~~
ATW~KATW~APPLETON, WI~APPLETON WI~OUTAGAMIE CO~44.15.4N~088.31.1W~917~M06.0
ATX~~SUB AUTOMATION, TX~SABRE TRAVEL INFORMATION N~~~~1~M06.0
ATY~KATY~WATERTOWN SD, SD~WATERTOWN SOUTH DAKOTA~WATERTOWN MUN~44.54.8N~097.09.2W~1748~M06.0
ATZ~~ASSIUT, EGYPT~NO STA DATA~~~~~
AUA~TNCA~ARUBA, ARUBA~ARUBA~BEATRIX INTL~12.30.2N~070.00.7W~60~M04.0
AUC~SKUC~ARAUCA, COLOMBIA~ARAUCA COLOMBIA~SANTIAGO PEREZ~07.05.1N~070.44.6W~400~M05.0
AUD~~AUGUSTUS DOWNS, AUSTRALIA~NO STA DATA~~~~~
AUE~~ABU RUDEIS, EGYPT~NO STA DATA~~~~~
AUF~~SARO AIRLINES, NY~NO STA DATA~~~~~
AUG~KAUG~AUGUSTA ME, ME~AUGUSTA ME~AUGUSTA STATE~44.19.2N~069.47.8W~352~M05.0
AUH~OMAA~ABU DHABI INTL, UNITED ARAB EMI~ABU DHABI ARAB EMIRATES~ABU DHABI INTL~24.25.9N~054.39.0E~88~P04.0
AUI~~AUA, PAPUA NEW GUINE~NO STA DATA~~~~~
AUJ~~AMBUNTI, PAPUA NEW GUINE~NO STA DATA~~~~~
AUK~~ALAKANUK, AK~NO STA DATA~~~~~
AUL~~AUR, US PACIFIC IS~NO STA DATA~~~~~
AUM~~AUSTIN MN, MN~NO STA DATA~~~~~
AUN~~AUBURN CA, CA~NO STA DATA~~~~~
AUO~~AUBURN AL, AL~NO STA DATA~~~~~
AUP~~AGAUN, PAPUA NEW GUINE~NO STA DATA~~~~~
AUQ~~ATUONA, FRENCH POLYNESI~NO STA DATA~~~~~
AUR~LFLW~AURILLAC, FRANCE~AURILLAC,FRANCE~AURILLAC~44.53.9N~002.25.1E~2096~P01.0
AUS~KAUS~AUSTIN TX, TX~AUSTIN TX~MUELLER MUN~30.17.9N~097.42.1W~632~M06.0
AUT~~ATAURO, INDONESIA~NO STA DATA~~~~~
AUU~~AURUKUN MISSION, AUSTRALIA~NO STA DATA~~~~~
AUV~~AUMO, PAPUA NEW GUINE~NO STA DATA~~~~~
AUW~~WAUSAU, WI~NO STA DATA~~~~~
AUX~~ARAGUAINA, BRAZIL~NO STA DATA~~~~~
AUY~~ANEITYUM, VANUATU~NO STA DATA~~~~~
AUZ~KARR~AURORA, IL~CHICAGO IL~AURORA MUN~41.46.2N~088.28.3W~707~M06.0
AVB~LIPA~AVIANO, ITALY~AVIANO ITALY~AVIANO MIL~46.02.0N~012.36.1E~413~P01.0
AVC~~AVIANCA, COLOMBIA~NO STA DATA~~~~~
AVG~~AUVERGNE, AUSTRALIA~NO STA DATA~~~~~
AVH~~AEROPOSTAL, VENEZUELA~NO STA DATA~~~~~
AVI~MUCA~CIEGO DE AVILA, CUBA~CIEGO DE AVILA,CUBA~MAXIMO GOMEZ INTL~22.01.5N~078.47.4W~335~M05.0
AVL~KAVL~ASHEVILLE HNDRSNV, NC~ASHEVILLE NC~ASHEVILLE REGL~35.26.1N~082.32.5W~2165~M05.0
AVM~~CDN GSA SOUTHCO, CANADA~NO STA DATA~~~~~
AVN~LFMV~AVIGNON, FRANCE~AVIGNON FRANCE~CAUMONT~43.54.4N~004.54.1E~121~P01.0
AVP~KAVP~SCRANTN WILKESBRE, PA~SCRANTON~WILKES-BARRE-SCRANTON INTL~41.20.2N~075.43.4W~962~M05.0
AVQ~~AMBASSADOR SRVCS, NE~NO STA DATA~~~~~
AVR~~AVRS, TX~AVRS REQUIREMENT~~~~1~P00.0
AVS~~AVS TEST AVS, CANADA~NO STA DATA~~~~~
AVU~~AVU AVU, SOLOMON ISLANDS~NO STA DATA~~~~~
AVV~YMAV~AVALON AU, AUSTRALIA~AVALON AUSTRALIA~AVALON~38.02.3S~144.28.1E~35~P10.0
AVW~~AVRA VALLEY, AZ~NO STA DATA~~~~~
AVX~KAVX~CATALINA AVALON, CA~AVALON CA~CATALINA~33.24.2N~118.24.9W~1602~M08.0
AWA~~AWASSA, ETHIOPIA~NO STA DATA~~~~~
AWB~~AWABA, PAPUA NEW GUINE~NO STA DATA~~~~~
AWD~~ANIWA, VANUATU~NO STA DATA~~~~~
AWE~~ALOWE, GABON~NO STA DATA~~~~~
AWH~~AWAREH, ETHIOPIA~AGENCY WAREHOUSE-DALLAS~~~~1~P00.0
AWK~PWAK~WAKE ISLAND, US PACIFIC IS~WAKE ISLAND~WAKE I AAF~19.16.8N~166.38.5E~14~P12.0
AWM~KAWM~NOT IN TBL~WEST MEMPHIS AR~WEST MEMPHIS MUN~35.08.1N~090.14.0W~212~M06.0
AWN~~ALTON DOWNS, AUSTRALIA~NO STA DATA~~~~~
AWP~~AUSTRAL DOWNS, AUSTRALIA~NO STA DATA~~~~~
AWR~~AWAR, PAPUA NEW GUINE~NO STA DATA~~~~~
AWZ~OIAW~AHWAZ, IRAN~AHWAZ IRAN~AHWAZ~31.20.2N~048.45.6E~64~P03.5
AXA~TQPF~ANGUILLA, ANGUILLA~ANGUILLA, WEST INDIES~WALLBLAKE~18.12.6N~063.03.1W~108~M04.0
AXB~~ALEXANDRIA BAY, NY~BOS FLIGHT ADMINISTRATION~~~~1~P00.0
AXC~~ARAMAC, AUSTRALIA~LGA FLIGHT ADMINISTRATION~~~~1~P00.0
AXD~LGAL~ALEXANDROUPOLIS, GREECE~ORD FLIGHT ADMINISTRATION~DIMOKRITOS~40.51.4N~025.57.4E~1~P00.0
AXE~~NOT IN TBL~LAX FLIGHT ADMINISTRATION~~~~1~P00.0
AXF~~NOT IN TBL~SFO FLIGHT ADMINISTRATION~~~~1~P00.0
AXG~KAXG~NOT IN TBL~SAN FLIGHT ADMINISTRATION~ALGONA MUN~43.04.6N~094.16.3W~1~P00.0
AXH~KAXH~NOT IN TBL~HOUSTON-SOUTHWEST~HOUSTON-SOUTHWEST~29.30.3N~095.28.6W~1~P00.0
AXI~~NOT IN TBL~SNA FLIGHT ADMINISTRATION~~~~1~P00.0
AXJ~~NOT IN TBL~DCA FLIGHT ADMINISTRATION~~~~0~P00.0
AXK~~ATAQ, YEMEN REPUBLIC~RDU FLIGHT ADMINISTRATION~~~~1~P00.0
AXL~~ALEXANDRIA AU, AUSTRALIA~NO STA DATA~~~~~
AXM~SKAR~ARMENIA, COLOMBIA~ARMENIA COLOMBIA~EL ADEN~04.27.4N~075.46.2W~3960~M05.0
AXN~~ALEXANDRIA MN, MN~NO STA DATA~~~~~
AXP~MYAP~SPRING POINT, BAHAMAS~ACKLINS ISLAND,BAHAMAS~SPRING POINT~22.26.7N~073.58.5W~11~M05.0
AXR~~ARUTHA, FRENCH POLYNESI~NO STA DATA~~~~~
AXS~KAXS~ALTUS, OK~ALTUS OKLA~ALTUS MUN~34.41.8N~099.20.3W~1426~M06.0
AXT~RJSK~AKITA, JAPAN~AKITA,JAPAN~AKITA~39.36.7N~140.13.3E~305~P09.0
AXU~~AXUM, ETHIOPIA~NO STA DATA~~~~~
AXV~KAXV~NOT IN TBL~WAPAKONETA OH~ARMSTRONG~40.29.6N~084.17.9W~909~M05.0
AXX~~ANGEL FIRE, NM~HDQ CREW MANNING~~~~1~P00.0
AYA~~AYAPEL, COLOMBIA~NO STA DATA~~~~~
AYC~~AYACUCHO CO, COLOMBIA~NO STA DATA~~~~~
AYD~~ALROY DOWNS, AUSTRALIA~NO STA DATA~~~~~
AYG~~YAGUARA, COLOMBIA~NO STA DATA~~~~~
AYH~~NOT IN TBL~ALCONBURY UK~~~~162~P00.0
AYI~~YARI, COLOMBIA~NO STA DATA~~~~~
AYK~~ARKALYK, KAZAKHSTAN~NO STA DATA~~~~~
AYL~~ANTHONY LAGOON, AUSTRALIA~NO STA DATA~~~~~
AYM~~ALASKA YIELD MGT, WA~NO STA DATA~~~~~
AYN~~ANYANG, CHINA~NO STA DATA~~~~~
AYP~~AYACUCHO PE, PERU~NO STA DATA~~~~~
AYQ~YAYE~AYERS ROCK, AUSTRALIA~AYERS ROCK NT~AYERS ROCK~25.11.2S~130.58.4E~92~P09.5
AYR~~AYR, AUSTRALIA~NO STA DATA~~~~~
AYS~KAYS~WAYCROSS, GA~WAYCROSS GA~WAYCROSS-WARE CO~31.14.9N~082.23.7W~142~M05.0
AYT~LTAI~ANTALYA, TURKEY~ANTALYA TURKEY~ANTALYA~36.54.0N~030.47.6E~177~P02.0
AYU~~AIYURA, PAPUA NEW GUINE~NO STA DATA~~~~~
AYV~~MESA AIRLINES, NM~NO STA DATA~~~~~
AYW~~AYAWASI, INDONESIA~NO STA DATA~~~~~
AYX~~ARNOLD AB TN, TN~NO STA DATA~~~~~
AYY~~ALASKA COMMERCIAL, WA~NO STA DATA~~~~~
AZA~~SALES PROMOTION, TX~NO STA DATA~~~~~
AZB~~AMAZON BAY, PAPUA NEW GUINE~NO STA DATA~~~~~
AZC~~AIR TRAVEL GUIDE, UNITED KINGDOM~NO STA DATA~~~~~
AZD~OIYY~YAZD, IRAN~YAZD, IRAN~YAZD~31.54.3N~054.16.5E~4066~P03.5
AZG~~APATZINGAN, MEXICO~NO STA DATA~~~~~
AZI~OMAD~ABU DHABI BATEEN, UNITED ARAB EMI~ABU DHABI UAE~BATEEN~24.25.7N~054.27.4E~15~P04.0
AZM~~ADMIRAL CAR RNTL, CA~NO STA DATA~~~~~
AZN~~ANDIZHAN, UZBEKISTAN~NO STA DATA~~~~~
AZO~KAZO~KALAMAZOO, MI~KALAMAZOO MI~KALAMAZOO/BATTLE CREEK INTL~42.14.0N~085.33.1W~874~M05.0
AZP~~TABB GSA ITALY, ITALY~NO STA DATA~~~~~
AZR~DAUA~ADRAR, ALGERIA~ADRAR ALGERIA~ADRAR~27.50.4N~000.11.1W~915~P01.0
AZS~~ALL SUITES, CANADA~NO STA DATA~~~~~
AZT~~ZAPATOCA, COLOMBIA~NO STA DATA~~~~~
AZY~AZDY~NOT IN TBL~STORAGE FOR ATC ADVISORIES~USED BY JNH FOR COMPUTER STORA~36.00.0N~097.00.0W~0~P00.0
AZZ~~ITALIAN HELPDESK, ITALY~NO STA DATA~~~~~
BAA~~BIALLA, PAPUA NEW GUINE~NO STA DATA~~~~~
BAB~KBAB~BA AUTOMATED SVCS, NY~BEALE AFB CA~BEALE AFB~39.08.1N~121.26.1W~113~M08.0
BAC~~BARRANCA DE UPIA, COLOMBIA~BOEING BFE~~~~1~P00.0
BAD~KBAD~BARKSDALE AFB, LA~BARKSDALE AFB~BARKSDALE AFB~32.30.1N~093.39.7W~166~M06.0
BAE~~BARCELONNETTE, FRANCE~NO STA DATA~~~~~
BAF~KBAF~WESTFIELD, MA~WESTFIELD MA~BARNES MUN~42.09.4N~072.42.9W~271~M05.0
BAG~~BAGUIO, PHILIPPINES~NO STA DATA~~~~~
BAH~OBBI~BAHRAIN, BAHRAIN~BAHRAIN, BAHRAIN~BAHRAIN INTL~26.16.2N~050.38.0E~1~P03.0
BAI~~BUENOS AIRES CR, COSTA RICA~NO STA DATA~~~~~
BAJ~~BALI PG, PAPUA NEW GUINE~NO STA DATA~~~~~
BAK~UBBB~BAKU, AZERBAIJAN~BAKU, AZERBAIJAN~BINA~40.28.0N~050.03.0E~0~P04.0
BAL~LTCJ~BATMAN, TURKEY~BALTIMORE~BATMAN AB~37.55.9N~041.07.1E~156~M05.0
BAM~KBAM~BATTLE MOUNTAIN, NV~BATTLE MTN NV~BATTLE MOUNTAIN~40.35.9N~116.52.4W~4532~M08.0
BAN~~BASONGO, ZAIRE REPUBLIC~NO STA DATA~~~~~
BAO~~BAN MAK KHAENG, THAILAND~NO STA DATA~~~~~
BAP~~BAIBARA, PAPUA NEW GUINE~NO STA DATA~~~~~
BAQ~SKBQ~BARRANQUILLA, COLOMBIA~BARRANQUILLA COLOMBIA~ERNESTO CORTISSOZ~10.53.6N~074.47.0W~94~M05.0
BAS~~BALALAE, SOLOMON ISLANDS~NO STA DATA~~~~~
BAT~~BARRETOS, BRAZIL~NO STA DATA~~~~~
BAU~SBBU~BAURU, BRAZIL~CREATED FOR MIA DIVISION~BAURU~22.20.5S~049.03.2W~1~P00.0
BAV~~BAOTOU, CHINA~NO STA DATA~~~~~
BAW~~BIAWONQUE, GABON~NO STA DATA~~~~~
BAX~~BARNAUL, E URAL RUSSIA~NO STA DATA~~~~~
BAY~LRBM~BAIA MAPE, ROMANIA~TAUTII-MAGHERAUS ROMANIA~TAUTII-MAGHERAUS~47.39.5N~023.28.1E~604~P02.0
BAZ~~BARCELOS, BRAZIL~NO STA DATA~~~~~
BBA~~BALMACEDA, CHILE~NO STA DATA~~~~~
BBB~KBBB~NOT IN TBL~HILTON HEAD ISLAND~BENSON MUN~45.19.9N~095.39.0W~1~M05.0
BBC~~BAY CITY, TX~NO STA DATA~~~~~
BBD~~BRADY, TX~NO STA DATA~~~~~
BBE~~BIG BELL, AUSTRALIA~NO STA DATA~~~~~
BBF~~BURLINGTON MA, MA~ENDPOINT ONE~~~~13~P00.0
BBG~~BUTARITARI, KIRIBATI~NO STA DATA~~~~~
BBH~~BARTH, GERMANY~NO STA DATA~~~~~
BBI~VEBS~BHUBANESWAR, INDIA~BHUBANESWAR INDIA~BHUBANESWAR~20.14.7N~085.49.2E~146~P05.5
BBJ~~BITBURG, GERMANY~BITBURG GERMANY~~~~1228~P01.0
BBK~~KASANE, BOTSWANA~NO STA DATA~~~~~
BBL~~BABOLSAR, IRAN~NO STA DATA~~~~~
BBM~~BATTAMBANO, CAMBODIA~NO STA DATA~~~~~
BBN~~BARIO, MALAYSIA~NO STA DATA~~~~~
BBO~~BERBERA, SOMALIA~NO STA DATA~~~~~
BBP~~BEMBRIDGE UK, UNITED KINGDOM~NO STA DATA~~~~~
BBQ~~BARBUDA, ANTIGUA~NO STA DATA~~~~~
BBR~~BASSE TERRE, GUADELOUPE~NO STA DATA~~~~~
BBS~~BLACKBUSH, UNITED KINGDOM~NO STA DATA~~~~~
BBT~~BERBERATI, CENTRAL AFRICA~NO STA DATA~~~~~
BBU~LRBS~BUCHAREST BANEASA, ROMANIA~BANEASA ROMANIA~BANEASA~44.30.2N~026.06.2E~295~P02.0
BBV~~BERESY, IVORY COAST~NO STA DATA~~~~~
BBX~~BLUE BELL, PA~NO STA DATA~~~~~
BBY~~BAMBARI, CENTRAL AFRICA~NO STA DATA~~~~~
BBZ~~ZAMBEZI, ZAMBIA~NO STA DATA~~~~~
BCA~~BARACOA, CUBA~NO STA DATA~~~~~
BCB~~BLACKSBURG, VA~NO STA DATA~~~~~
BCC~~BEAR CREEK, AK~NO STA DATA~~~~~
BCD~RPVB~BACOLOD, PHILIPPINES~BACOLOD,PHILLIPINES~BACOLOD~10.38.7N~122.55.3E~20~P08.0
BCE~~BRYCE, UT~BRYCE CANYON UT~~~~7586~M07.0
BCF~~FAUCETT AIRLINES, PERU~NO STA DATA~~~~~
BCG~~BEMICHI, GUYANA~NO STA DATA~~~~~
BCH~~BAUCAU, INDONESIA~NO STA DATA~~~~~
BCI~~BARCALDINE, AUSTRALIA~NO STA DATA~~~~~
BCJ~~BACA GRANDE, CO~NO STA DATA~~~~~
BCK~~BOLWARRA, AUSTRALIA~NO STA DATA~~~~~
